8078,0,0,0,1,0,0,0,8,0,0,7782,49
4853,0,0,0,0,0,1,0,0,0,0,18042,
11635,0,0,0,1,0,0,2,,,,138225,130
5304,0,0,0,1,0,0,0,0,0,0,3286,49
5381,0,0,0,0,0,0,0,0,0,0,58251,26
5746,0,0,0,0,0,0,0,0,0,0,55002,65
5400,0,0,0,0,1,0,0,0,0,0,18399,
4948,0,0,0,0,0,0,0,0,0,0,70398,126
5741,0,0,0,1,0,0,2,0,0,0,5315,12
5222,0,0,0,1,0,0,0,0,0,0,26194,
5296,0,0,0,0,0,0,0,0,0,0,57379,52
5990,0,0,0,0,0,0,0,0,0,0,56340,65
8377,0,0,0,0,0,0,0,6,0,0,82540,49
6564,0,0,0,0,0,1,0,0,0,0,57887,
4971,0,0,0,0,0,0,0,0,0,0,55002,15
11407,0,1,0,1,0,0,2,2,,16,1865,8
8425,0,0,0,0,1,0,0,0,0,10,83741,49
11250,0,0,1,0,0,0,0,4,0,0,1223,20
11408,0,1,0,1,0,1,2,2,,16,20003,9
8438,0,0,0,1,1,0,0,4,0,4,83775,49
8567,0,1,0,1,1,0,4,0,4,0,20273,12
11403,1,0,0,1,1,1,2,2,8,60,3205,9
11526,0,0,0,0,0,1,,2,,,45023,
8765,0,0,0,0,0,0,,,,,103271,49
770,0,1,0,1,0,0,2,0,0,0,9751,12
11529,0,0,0,0,0,0,,4,,,3889,21
7071,0,0,0,0,0,0,0,0,0,0,6402,41
1992,0,1,0,1,0,0,4,0,0,0,22970,9
11530,0,0,0,0,0,0,,4,,,3891,21
11658,1,0,0,1,1,0,100,100,100,100,138335,55
530,0,1,0,1,0,0,2,0,0,0,43663,8
9251,0,0,0,1,0,0,4,,,,115297,130
7289,0,0,0,0,0,0,,,,,20063,
7314,0,0,0,0,0,0,,,,,42922,
7351,0,0,0,0,0,0,,,,,50598,
31700,0,0,0,0,0,0,,,,,325662,163
7582,0,0,0,0,0,0,,,,,76714,
7584,0,0,0,0,0,0,,,,,6263,
11419,0,0,0,0,0,0,0,1,0,32,1866,9
7611,0,0,0,0,0,0,,,,,2134,
1578,0,0,0,1,0,0,4,0,0,0,21946,12
7764,0,0,0,0,0,0,,,,,47415,
7612,0,0,0,0,0,0,,,,,44475,
7729,0,0,0,1,0,0,0,0,0,0,14343,
11420,0,0,0,1,1,1,0,2,0,24,1867,9
9319,0,0,0,0,0,0,,,,,51044,5
